ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRO DE ESTADO EN EL DESPACHO DEL MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO,YAÑEZ WENDORFF RODOLFO EUGENIO,FIRMADA 22/07/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21528&llave=UPYMVSG2&idet=1
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRA DE ESTADO EN EL DESPACHO DE VIVIENDA CONSTRUCCIÓN Y SANEAMIENTO,SANDOVAL CORNEJO HILDA,FIRMADA 13/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=47954&llave=HCTVW5LS&idet=1
MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES (MIMP) VER TODAS LAS DJIS,Ministro(a),MENDIETA TREFOGLI ANA MARIA ALEJANDRA,FIRMADA 21/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13254&llave=ZFEIGE41&idet=1
MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES (MIMP) VER TODAS LAS DJIS,MINISTRA,MONTENEGRO FIGUEROA GLORIA EDELMIRA,FIRMADA 17/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21068&llave=ZA5X9O8V&idet=2
MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES (MIMP) VER TODAS LAS DJIS,MINISTRA DE LA MUJER Y POBLACIONES VULNERABLES,SASIETA MORALES ANTONINA ROSARIO,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=42370&llave=HS9QVWOM&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRA,BALBUENA PALACIOS PATRICIA JACQUELYN,FIRMADA 31/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21836&llave=NLGCYDXD&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRA,HOLMQUIST PACHAS ULLA SARELA,FIRMADA 29/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21825&llave=S318D0V4&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRO DE CULTURA,CASTILLO BUTTERS LUIS JAIME,FIRMADA 18/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21134&llave=PNSAXJ0I&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRO DE CULTURA,PETROZZI FRANCO FRANCISCO ENRIQUE HUGO,FIRMADA 27/12/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=25934&llave=WHJOPMWK&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRA,GUILLEN ONEEGLIO SONIA ELIZABETH,FIRMADA 27/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34878&llave=O4FNSEIO&idet=2
